date,client_union_id,community_id,create_date
2020-05-07,1,-130371893,2018-12-24
2020-05-07,2,-130304626,2019-02-10
2020-05-07,3,-130462599,2019-01-25
2020-05-07,4,-130574300,2018-12-09
2020-05-07,5,-130292358,2019-01-08
2020-05-07,6,-130524242,2018-10-30
2020-05-07,7,-130404850,2019-01-22
2020-05-07,8,-130811444,2018-12-11
2020-05-07,9,-130215524,2018-12-10
2020-05-07,10,-130553815,2018-12-07
2020-05-07,11,-130508851,2019-02-10
2020-05-07,12,-130758712,2018-11-09
2020-05-07,13,-130623793,2019-01-26
2020-05-07,14,-130612247,2018-10-28
2020-05-07,15,-130524076,2018-09-08
2020-05-07,16,-130748007,2018-12-19
2020-05-07,17,-130663807,2018-12-09
2020-05-07,18,-130031366,2019-02-06
2020-05-07,19,-130143930,2018-10-20
2020-05-07,20,-130189700,2019-03-01
2020-05-07,21,-130158190,2018-08-29
2020-05-07,22,-130941439,2018-09-08
2020-05-07,23,-130201690,2018-10-29
2020-05-07,24,-130233629,2018-12-23
2020-05-07,25,-130836724,2018-12-28
2020-05-07,26,-130031099,2018-11-24
2020-05-07,27,-130055086,2019-01-12
2020-05-07,28,-130557690,2018-09-19
2020-05-07,29,-130277913,2018-10-15
2020-05-07,30,-130877528,2019-02-16
2020-05-07,31,-130505782,2018-11-05
2020-05-07,32,-130514910,2018-10-20
2020-05-07,33,-130725640,2019-03-02
2020-05-07,34,-130164991,2018-11-18
2020-05-07,35,-130399582,2018-11-27
2020-05-07,36,-130358414,2018-10-08
2020-05-07,37,-130021201,2019-02-22
2020-05-07,38,-130971132,2018-12-27
2020-05-07,39,-130351615,2018-10-08
2020-05-07,40,-130563665,2019-01-18
2020-05-07,41,-130007659,2018-10-23
2020-05-07,42,-130161212,2018-12-31
2020-05-07,43,-130915888,2018-11-24
2020-05-07,44,-130900142,2019-02-27
2020-05-07,45,-130165947,2018-11-19
2020-05-07,46,-130480099,2018-10-01
2020-05-07,47,-130584329,2018-10-09
2020-05-07,48,-130944939,2018-12-11
2020-05-07,49,-130737442,2018-09-21
2020-05-07,50,-130117072,2018-10-15
2020-05-07,51,-130887658,2019-02-10
2020-05-07,52,-130759833,2018-10-06
2020-05-07,53,-130176035,2019-02-09
2020-05-07,54,-130650642,2019-02-22
2020-05-07,55,-130825697,2018-07-28
2020-05-07,56,-130185535,2018-09-07
2020-05-07,57,-130458214,2018-11-08
2020-05-07,58,-130634452,2018-11-02
2020-05-07,59,-130807214,2018-11-12
2020-05-07,60,-130519526,2018-11-16
2020-05-07,61,-130122488,2019-01-16
2020-05-07,62,-130981674,2018-11-15
2020-05-07,63,-130694763,2019-01-31
2020-05-07,64,-130524880,2019-01-15
2020-05-07,65,-130152516,2019-01-05
2020-05-07,66,-130412010,2019-02-20
2020-05-07,67,-130457265,2019-02-02
2020-05-07,68,-130915987,2018-08-16
2020-05-07,69,-130101943,2018-10-29
2020-05-07,70,-130271183,2019-01-23
2020-05-07,71,-130573287,2019-02-01
2020-05-07,72,-130195313,2018-11-05
2020-05-07,73,-130946746,2019-01-11
2020-05-07,74,-130663176,2019-02-19
2020-05-07,75,-130468431,2019-02-02
2020-05-07,76,-130445830,2018-11-18
2020-05-07,77,-130142182,2018-11-01
2020-05-07,78,-130610312,2018-12-10
2020-05-07,79,-130764039,2018-12-27
2020-05-07,80,-130504763,2018-11-03
2020-05-07,81,-130172523,2018-12-31
2020-05-07,82,-130475149,2018-12-03
2020-05-07,83,-130666532,2019-02-10
2020-05-07,84,-130677357,2018-10-22
2020-05-07,85,-130082788,2019-01-22
2020-05-07,86,-130088857,2018-09-26
2020-05-07,87,-130281741,2019-02-10
2020-05-07,88,-130844825,2018-08-06
2020-05-07,89,-130407120,2018-10-06
2020-05-07,90,-130455127,2018-12-25
2020-05-07,91,-130618919,2018-12-06
2020-05-07,92,-130454522,2018-11-19
2020-05-07,93,-130158614,2019-02-08
2020-05-07,94,-130125404,2018-11-09
2020-05-07,95,-130284067,2018-10-09
2020-05-07,96,-130750328,2019-01-25
2020-05-07,97,-130538813,2018-12-22
2020-05-07,98,-130887791,2019-01-17
2020-05-07,99,-130868891,2018-12-25
2020-05-07,100,-130529363,2018-09-04
2020-05-07,101,-130234951,2019-01-13
2020-05-07,102,-130174092,2018-11-29
2020-05-07,103,-130857125,2019-01-15
2020-05-07,104,-130192470,2019-02-04
2020-05-07,105,-130838542,2018-11-21
2020-05-07,106,-130201201,2019-01-14
2020-05-07,107,-130320755,2019-02-12
2020-05-07,108,-130061705,2018-11-19
2020-05-07,109,-130937987,2018-10-09
2020-05-07,110,-130728196,2018-11-27
2020-05-07,111,-130795099,2019-02-11
2020-05-07,112,-130497252,2019-03-06
2020-05-07,113,-130103536,2018-09-04
2020-05-07,114,-130773451,2018-11-23
2020-05-07,115,-130836147,2018-10-06
2020-05-07,116,-130278549,2018-10-28
2020-05-07,117,-130825741,2018-10-23
2020-05-07,118,-130656354,2018-10-04
2020-05-07,119,-130707181,2019-02-02
2020-05-07,120,-130241259,2019-02-26
2020-05-07,121,-130856701,2019-03-02
2020-05-07,122,-130014091,2018-07-31
2020-05-07,123,-130014718,2018-11-17
2020-05-07,124,-130391360,2019-01-28
2020-05-07,125,-130830158,2019-02-23
2020-05-07,126,-130660366,2018-11-07
2020-05-07,127,-130182684,2019-02-13
2020-05-07,128,-130434649,2019-01-22
2020-05-07,129,-130604585,2019-01-09
2020-05-07,130,-130229431,2018-11-24
2020-05-07,131,-130924577,2018-10-31
2020-05-07,132,-130144071,2018-12-09
2020-05-07,133,-130034905,2019-02-06
